texto,categoria
¿Alguien me explica por qué el programa instalado me exige que lo active o me bloquea las funciones?,software
"Cordial saludo, solicito revisión de lo siguiente: Dice que mi perfil está inactivo por fin de labores, y yo sigo trabajando.",cuentas_contrasenas
"El botón de inicio y la barra de búsqueda de Windows están congelados, no reaccionan. ¿Me colaboran?",software
el software de diseño bota un error de archivo.dll faltante al intentar arrancar. ¿me colaboran?,software
"Oigan, Necesito urgentemente una carta laboral con sueldo para arrendar un apartamento.",otros
El disco externo q conecto por USB hace clics mecánicos y no es detectado. ¿Me colaboran?,infraestructura
Sugiero cambiar el menú del almuerzo porque la comida de los viernes está terrible.,otros
Descargué una supuesta factura en PDF pero era un programa y lo ejecuté por error. ¿Me colaboran?,seguridad
"El reporte no me deja exportar a Excel, me sale aviso de restricción. Llevo toda la mañana en esto y nada.",permisos
"oigan, la carcasa de la laptop se deformó abajo y levantó el mousepad.",infraestructura
"Cordial saludo, solicito revisión de lo siguiente: La red inalámbrica está invisible solo para mi máquina, los demás sí están conectados.",redes
Por favor agéndenme el auditorio principal para una reunión de 3 horas. Llevo toda la mañana en esto y nada.,otros
Trato de navegar y el cortafuegos me saca un aviso de tráfico anómalo o botnet.,seguridad
"Oigan, El aire acondicionado de mi area esta a una temperatura congelante, xfa subanle.",otros
Buen día. la política de red del móvil impide usar los datos como hotspot para la laptop.,redes
"La política me obligó a cambiar el password, pero no me acepta el nuevo, entra en bucle.",cuentas_contrasenas
reportando incidente: meto mi número de cédula en el portal de proveedores y me sale perfil inexistente. urgente.,cuentas_contrasenas
El software legacy lanza error de incompatibilidad de arquitectura en el nuevo OS. Llevo toda la mañana en esto y nada.,software
"¿Alguien me explica por qué expiró mi clave, intento renovarla y me arroja error tras error?",cuentas_contrasenas
Ingresé hoy y el sistema ERP me bota al intentar loguearme.,permisos
"Qué más, tengo un chicharrón: Intento entrar y mi usuario aparece dado de baja, me desactivaron por error.",cuentas_contrasenas
ingresé hoy y el sistema erp me bota al intentar loguearme. ¿me colaboran?,permisos
"Hola equipo, pongo mi pin y windows dice que la relación de confianza con el dominio falló.",cuentas_contrasenas
"Reporto posible robo de información visual, hay alguien anotando lo que veo en mi PC. Llevo toda la mañana en esto y nada.",seguridad
"Buenas, solicito el cambio de talla de mis botas de seguridad q me quedaron grandes.",otros
"Qué más, tengo un chicharrón: El portal de recursos humanos me bloquea la consulta de mi propio pago.",permisos
"Urgente: Tengo mucha lentitud en la SSID corporativa, pero la abierta está rápida. Necesito trabajar.",redes
Urgente: Perdí la vista de las carpetas de mi área actual tras el traslado de puesto. Necesito trabajar.,permisos
"Buen día. tengo latencia altísima, mi voz llega con retraso en la telefonía ip.",redes
"Oigan, Se me regó el tinto en el teclado, las teclas están súper pegajosas.",infraestructura
Les escribo xq la política de red del móvil impide usar los datos como hotspot pa la laptop. Quedo atento.,redes
La VPN de Fortinet se me cae y se reconecta exactamente cada 5 minutos. ¿Me colaboran?,redes
"No pasa de la pantalla de autenticando en la red inalámbrica, ciclo infinito. Llevo toda la mañana en esto y nada.",redes
"Qué más, tengo un chicharrón: Les envío el recibo de compra de suministros pa q procesen el giro.",otros
"Buen día. la plataforma rechaza mi documento de identidad, dice que no hay cuenta asociada.",cuentas_contrasenas
¿Alguien me explica por qué trato de túnel a la oficina y me deniegan la autorización por credenciales?,cuentas_contrasenas
"oigan, pongo la clave bien, carga la página e inmediatamente me patea afuera.",cuentas_contrasenas
Ayer podía instalar cosas y hoy el AD me sacó del grupo de administradores locales. ¿Me colaboran?,permisos
Urgente: Otro computador agarró la misma dirección IP que yo y nos estamos tumbando. Necesito trabajar.,redes
"Cordial saludo, solicito revisión de lo siguiente: Al insertar un pendrive me salieron mil ventanas rojas de troyano bloqueado.",seguridad
Urgente: El programa interno arrastra un bug de calendario que daña las fechas de pago. Necesito trabajar.,software
"Hola grupo, estamos recogiendo la cooperacha para el pastel del jefe hoy.",otros
A quien corresponda: se acabo el jabon en el lavado del piso principal. Saludos.,otros
Buen día. me autentico correctamente y a los dos segundos la sesión expira sola.,cuentas_contrasenas
Intento meterme a la unidad Z y el servidor local me saca por acceso denegado.,permisos
"Qué más, tengo un chicharrón: Entra en un bucle infinito en la BIOS y nunca arranca el disco.",infraestructura
¿Alguien me explica por qué el sistema me avisa de un login sospechoso desde un país extraño?,seguridad
Buen día. les envío el recibo de compra de suministros para que procesen el giro.,otros
Estoy en el aeropuerto y no me salta la pantalla para aceptar términos de la red.,redes
"Cordial saludo, solicito revisión de lo siguiente: El cooler del procesador suena como un tractor al prender la máquina.",infraestructura
Urgente: Quisiera información sobre los descuentos corporativos en universidades. Necesito trabajar.,otros
"Cordial saludo, solicito revisión de lo siguiente: El computador está abombado por debajo, parece que la batería va a explotar.",infraestructura
"Cordial saludo, solicito revisión de lo siguiente: La herramienta contable antigua no es soportada por el sistema operativo reciente.",software
¿Alguien me explica por qué el ejecutable bota un volcado de memoria antes de mostrarme las opciones de instalación?,software
"oigan, tratando de conectarme a un ftp externo y el cortafuegos me rechaza la conexión.",redes
"¿Alguien me explica por qué el wifi intenta conectar, dice comprobando requisitos y vuelve a empezar?",redes
"¿Alguien me explica por qué estoy atascado en la pantalla del token, el código no me llega al móvil?",cuentas_contrasenas
Buen día. el software legacy lanza error de incompatibilidad de arquitectura en el nuevo os.,software
El cliente de OneDrive está loco creando 'copias del equipo' para todos mis excels. Llevo toda la mañana en esto y nada.,software
Urgente: El enlace del documento me manda a una pantalla pidiendo autorización. Necesito trabajar.,permisos
"Les escribo porque el sistema intenta aplicar parches, dice error, revierte y reinicia de nuevo. no sé qué hacer.",software
Siento que me metieron un virus minero porque la red y la ram están colapsadas solas. Llevo toda la mañana en esto y nada.,seguridad
"oigan, la vpn de fortinet se me cae y se reconecta exactamente cada 5 minutos.",redes
"Corro el instalador del update, y antes de pedirme la credencial crashea durísimo. ¿Me colaboran?",software
¿Alguien me explica por qué el switch frontal para encender la máquina se quedó presionado y trabado?,infraestructura
"Oigan, La impresora láser grande mancha todas las hojas con rayas negras.",infraestructura
urgente: la impresora láser grande mancha todas las hojas con rayas negras. agradezco la gestión.,infraestructura
"Urgente: El asiento ergonómico perdió un apoyabrazos, requiero reemplazo físico. Necesito trabajar.",otros
¿Alguien me explica por qué intento entrar a las noticias de la empresa y la web me dice que no tengo derechos?,permisos
"¿Alguien me explica por qué ya no soy admin de mi máquina, me retiraron de los grupos de seguridad?",permisos
"Oigan, el portal cautivo del hotel no me carga, entonces no puedo navegar. Les agradezco mucho.",redes
"La shell del sistema operativo dejó de funcionar, no puedo abrir el menú. Llevo toda la mañana en esto y nada.",software
Buen día. el portal de recursos humanos me bloquea la consulta de mi propio pago.,permisos
¿Alguien me explica por qué entro al sistema y me cierra la sesión de inmediato sin dejarme hacer nada?,cuentas_contrasenas
Urgente: El servicio antimalware tiene la máquina inutilizable por uso extremo de CPU. Necesito trabajar.,software
"Cordial saludo, solicito revisión de lo siguiente: Olvidé el gafete y el guardia no me deja pasar a las oficinas.",otros
"Soporte: el logueo centralizado esta en bucle, meto la clave y me vuelve a sacar la misma ventana. Estoy frenado.",cuentas_contrasenas
"Qué más, tengo un chicharrón: Quiero pedir la dotación de chalecos para el equipo nuevo de planta.",otros
"Oigan, Todos los archivos de mi escritorio ahora tienen extensión.crypt y hay una nota de rescate.",seguridad
"Que mas, tengo un chicharron: La maquina se calienta muchisimo y se apaga de repente sin avisar.",infraestructura
"qué más, tengo un chicharrón: el computador no encuentra la ssid corporativa en la lista de redes.",redes
¿Alguien me explica por qué el programa interno arrastra un bug de calendario que daña las fechas de pago?,software
"Qué más, tengo un chicharrón: El portal corporativo me rebota la carga de la página diciendo acceso prohibido.",permisos
Urgente: Duda general: ¿el horario de semana santa cómo quedó definido al fin? Necesito trabajar.,otros
"¿Alguien me explica por qué las teclas marcan varias cosas al tiempo, creo que hizo corto por un líquido?",infraestructura
"¿Alguien me explica por qué no puedo compartir escritorio interactivo, me dice que no tengo la autorización?",permisos
Urgente: El explorador de Windows me tira un letrero de que no tengo permisos para esa ruta. Necesito trabajar.,permisos
"Buen día. me estoy muriendo de calor, el aire de este piso parece que no funciona.",otros
¿Alguien me explica por qué reclamando que el pago de nómina me llegó incompleto?,otros
Regresé de mis semanas de descanso y mi mente borró por completo el PIN.,cuentas_contrasenas
Buen día. recibí un mensaje muy raro de gerencia solicitando un giro internacional inmediato.,seguridad
"No puedo actualizar el password, me dice que no cumple requisitos pero le pongo de todo. Llevo toda la mañana en esto y nada.",cuentas_contrasenas
"Cordial saludo, solicito revisión de lo siguiente: Perdí la vista de las carpetas de mi área actual tras el traslado de puesto.",permisos
Me cambiaron a finanzas pero sigo viendo solo los reportes de mi cargo anterior.,permisos
"Mi celular si detecta la red wifi de la oficina, pero el portatil ni siquiera la ve. ¿Me colaboran?",redes
"Qué más, tengo un chicharrón: No puedo actualizar el password, me dice q no cumple requisitos pero le pongo de todo.",cuentas_contrasenas
¿Alguien me explica por qué se me rompió el arco de los auriculares corporativos y no retienen el micro?,infraestructura
Buen día. la diadema del call center tiene el micrófono totalmente suelto.,infraestructura
"Qué más, tengo un chicharrón: Alguien está controlando mi computador remotamente, veo cómo abren ventanas.",seguridad
Ayuda: siento q me metieron un virus minero xq la red y la ram están colapsadas solas. Les agradezco mucho.,seguridad
"oigan, mis compañeros dicen que estoy enviándoles correos con links extraños y yo no he hecho nada.",seguridad
Urgente: Queja directa porque el sistema de ventilación nos está enfermando. Necesito trabajar.,otros
"Oigan, Todo el punto de venta se quedó sin comunicación con la sede principal.",redes
"Oigan, Puedo abrir la intranet interna por IP, pero Google y sitios externos están caídos.",redes
"qué más, tengo un chicharrón: amanecí con los excels encriptados y un bloc de notas pidiendo plata.",seguridad
Urgente: El aplicativo me salta un aviso de que mi suscripción no permite estas acciones. Necesito trabajar.,permisos
Trato de abrir el excel en la nube y exige que pida autorización al dueño.,permisos
Quiero pedir la dotación de chalecos para el equipo nuevo de planta. Llevo toda la mañana en esto y nada.,otros
"¿Alguien me explica por qué la barra inferior de windows no responde al clic, parece colapsada?",software
"¿Alguien me explica por qué tengo problemas de sobrecalentamiento térmico, el pc se apaga por protección?",infraestructura
¿Alguien me explica por qué tengo permisos de vista pero el sistema me impide bajar el archivo?,permisos
"Hay un ventilador interno sonando durísimo, parece que raspa con un cable.",infraestructura
"Qué más, tengo un chicharrón: La red privada me rechaza la entrada, el firewall dice acceso denegado.",cuentas_contrasenas
Urgente: Pongo mis datos en la ruta compartida y me lanza error de revocación de usuario. Necesito trabajar.,permisos
"qué más, tengo un chicharrón: la shell del sistema operativo dejó de funcionar, no puedo abrir el menú.",software
"Cordial saludo, solicito revisión de lo siguiente: El switch frontal para encender la máquina se quedó presionado y trabado.",infraestructura
"Cordial saludo, solicito revisión de lo siguiente: Mi cuenta está mandando correos masivos de supuestas promociones a todo el mundo.",seguridad
"Qué más, tengo un chicharrón: Al imprimir, el papel sale atascado a la mitad o con el tóner regado.",infraestructura
"Tengo accesos de ventas todavía, el aplicativo me bloquea lo de mi nueva gerencia. Llevo toda la mañana en esto y nada.",permisos
"Cordial saludo, solicito revisión de lo siguiente: El aplicativo me salta un aviso de que mi suscripción no permite estas acciones.",permisos
"Qué más, tengo un chicharrón: El agente de seguridad local traba el computador porque consume toda la memoria.",software
trato de hacer una consulta en producción y el motor me bloquea por privilegios. ¿me colaboran?,permisos
Buen día. el sms de verificación para entrar no me aterriza en el celular.,cuentas_contrasenas
"Qué más, tengo un chicharrón: Tengo latencia altísima, mi voz llega con retraso en la telefonía IP.",redes
"¿Alguien me explica por qué el equipo se prende, muestra el texto negro inicial y se apaga, cíclicamente?",infraestructura
Se acabó el jabón en el lavado del piso principal. Llevo toda la mañana en esto y nada.,otros
"oigan, me llegó un correo del presidente pidiéndome comprar unas tarjetas de regalo urgente.",seguridad
"Cordial saludo, solicito revisión de lo siguiente: El ping está por las nubes y las reuniones por video se me congelan cada nada.",redes
La máquina dispensadora de snacks del pasillo se tragó mis monedas. Llevo toda la mañana en esto y nada.,otros
"oigan, el chat de teams se quedó congelado mostrando conversaciones de ayer, no sincroniza.",software
"Qué más, tengo un chicharrón: Trato de darle check a la orden de compra y la interfaz me inhabilita la opción.",permisos
"Oigan, El puerto de red en la pared esta completamente flojo y no hace contacto.",redes
"Oigan, Los audífonos de la oficina tienen el cable pelado y solo funcionan del lado izquierdo.",infraestructura
El portal de recursos humanos me bloquea la consulta de mi propio pago. Llevo toda la mañana en esto y nada.,permisos
Buen día. el cliente de onedrive está loco creando 'copias del equipo' para todos mis excels.,software
"Urgente: Las teclas marcan varias cosas al tiempo, creo que hizo corto por un líquido. Necesito trabajar.",infraestructura
Intento entrar al directorio y dice que mi autenticación no es válida para ese objeto. Llevo toda la mañana en esto y nada.,permisos
"Cordial saludo, solicito revisión de lo siguiente: El replicador de puertos se dañó, conecto la laptop y no pasa nada.",infraestructura
"Oigan, Me acaba de saltar una alerta de inicio de sesión exitoso desde Rusia en mi correo.",seguridad
"Oigan, Me sale Access Denied en la VPN, parece que me bloquearon el paso.",cuentas_contrasenas
Windows Update falla al 99% y deshace los cambios eternamente en cada reinicio. ¿Me colaboran?,software
"Oigan, Reporto q los baños de mujeres del tercer piso no tienen papel higiénico.",otros
"qué más, tengo un chicharrón: la torre hace un ruido mecánico insoportable de aspas golpeando algo.",infraestructura
¿Alguien me explica por qué mensaje para recolectar fondos para la despedida del compañero de contabilidad?,otros
"Cordial saludo, solicito revisión de lo siguiente: Falla grave al abrir el aplicativo técnico por librerías corruptas del sistema.",software
"Buen día. intento acceder y el login me rebota, ¿será porque me pide el correo corporativo y puse el mío?",cuentas_contrasenas
El Excel se me queda en 'No Responde' cada vez q corro un archivo pesado. ¿Me colaboran?,software
¿Alguien me explica por qué el cooler del procesador suena como un tractor al prender la máquina?,infraestructura
"Me caducaron las credenciales, pongo una nueva y el sistema vuelve a pedírmela infinitamente. Llevo toda la mañana en esto y nada.",cuentas_contrasenas
"oigan, la webcam externa se ve con los colores invertidos y líneas verdes.",infraestructura
"Las páginas de internet no resuelven nombre, parece falla de DNS. Llevo toda la mañana en esto y nada.",redes
"Qué más, tengo un chicharrón: Están saliendo mensajes de spam desde mi buzón hacia otras áreas sin mi permiso.",seguridad
"Qué más, tengo un chicharrón: Siento que me metieron un virus minero porque la red y la ram están colapsadas solas.",seguridad
"Oigan, Google Chrome me lanza la pantalla de 'Oh no, Aw Snap' en todas las pestañas.",software
Todos mis correos se están auto-reenviando a un Hotmail externo que no conozco. Llevo toda la mañana en esto y nada.,seguridad
"Cordial saludo, solicito revisión de lo siguiente: Mi equipo tiene vida propia, el ratón se desplaza y hace clics por sí solo.",seguridad
Me autentico correctamente y a los dos segundos la sesión expira sola. Llevo toda la mañana en esto y nada.,cuentas_contrasenas
"oigan, el pc de escritorio emite 3 pitidos largos al encender y la pantalla se queda negra.",infraestructura
¿Alguien me explica por qué el enlace del documento me manda a una pantalla pidiendo autorización?,permisos
"Sharepoint me dice 'Acceso denegado, solicite permisos al propietario'. Llevo toda la mañana en esto y nada.",permisos
"Cordial saludo, solicito revisión de lo siguiente: Alguien o algo está eliminando en ráfaga toda la información del disco compartido.",seguridad
"La base de datos me deniega la conexión, dice que requiero rol de solo lectura. Llevo toda la mañana en esto y nada.",permisos
"Oigan, En las reuniones no me deja tomar el control de la pantalla por politicas de la org.",permisos
"Qué más, tengo un chicharrón: La batería de respaldo está dañada, medio bajón de luz y se muere todo.",infraestructura
"Intento acceder y el login me rebota, ¿será porque me pide el correo corporativo y puse el mío? Llevo toda la mañana en esto y nada.",cuentas_contrasenas
"El wifi de la empresa no carga nada, en cambio la red pública funciona perfecto.",redes
Soporte: el portal corporativo me rebota la carga de la página diciendo acceso prohibido.,permisos
La política de red del móvil impide usar los datos como hotspot para la laptop. Llevo toda la mañana en esto y nada.,redes
Urgente: Me confirmaron el reseteo de credenciales pero sigo esperando el pin de ingreso. Necesito trabajar.,cuentas_contrasenas
Urgente: Dejo mi retroalimentación sobre el servicio del casino de alimentación. Necesito trabajar.,otros
"qué más, tengo un chicharrón: mi licencia es básica y la plataforma exige nivel premium pa hacer este cambio.",permisos
El lente o sensor de la cámara web transmite la imagen completamente distorsionada. Llevo toda la mañana en esto y nada.,infraestructura
"¿Alguien me explica por qué el logueo centralizado está en bucle, meto la clave y me vuelve a sacar la misma ventana?",cuentas_contrasenas
"Que mas, tengo un chicharron: Intento acceder y el login me rebota, ¿sera xq me pide el correo corporativo y puse el mio?",cuentas_contrasenas
Urgente: Me conecto a la red pública pero la ventanita de login inicial no aparece. Necesito trabajar.,redes
Buen día. se acabó el jabón en el lavado del piso principal.,otros
¿Alguien me explica por qué el aplicativo se colapsa y desaparece de la pantalla justo cuando termino el registro?,software
Mi licencia es básica y la plataforma exige nivel premium para hacer este cambio. Llevo toda la mañana en esto y nada.,permisos
Urgente: Tengo permisos de vista pero el sistema me impide bajar el archivo. Necesito trabajar.,permisos
"Buen día. fui víctima de hurto de mi equipo corporativo, por favor apliquen borrado de disco.",seguridad
¿Alguien me explica por qué duda general: ¿el horario de semana santa cómo quedó definido al fin?,otros
"¿Alguien me explica por qué el replicador de puertos se dañó, conecto la laptop y no pasa nada?",infraestructura
"Buen día. la batería de respaldo está dañada, medio bajón de luz y se muere todo.",infraestructura
Urgente: La aplicación no logra capturar la señal de micrófono aunque el PC sí lo reconoce. Necesito trabajar.,software
"Urgente: Me robaron la maleta con el PC de la empresa, bloqueen todo ya mismo. Necesito trabajar.",seguridad
La pantalla de Single Sign On se queda parpadeando y me pide el login en un ciclo infinito. ¿Me colaboran?,cuentas_contrasenas
"Chicos, el ethernet está puesto pero no me da salida a la web, sale un triangulito. Es para ya.",redes
"¿Alguien me explica por qué dice que mi perfil está inactivo por fin de labores, y yo sigo trabajando?",cuentas_contrasenas
"oigan, el sistema dice cuenta suspendida administrativamente, creo q rrhh se equivocó con mi contrato.",cuentas_contrasenas
Buen día. el cliente de conferencias no engancha el hardware de video por fallo interno.,software
Urgente: El equipo pita al arrancar y no me da bios ni windows. Necesito trabajar.,infraestructura
"Hola, fui redirigido a una página falsa del banco al intentar hacer la transferencia.",seguridad
La aplicación de mensajería no me actualiza los mensajes nuevos de hoy. Llevo toda la mañana en esto y nada.,software
"Chicos, el reporte no me deja exportar a excel, me sale aviso de restricción.",permisos
Urgente: Se me rompió el arco de los auriculares corporativos y no retienen el micro. Necesito trabajar.,infraestructura
"imagínense que mi app de autenticación se borró al cambiar de móvil, necesito resetear el mfa.",cuentas_contrasenas
"Qué más, tengo un chicharrón: La máquina dispensadora de snacks del pasillo se tragó mis monedas.",otros
Solicito revisión de mi puesto de trabajo porque la silla no sube ni baja. Llevo toda la mañana en esto y nada.,otros
Buen día. la máquina dispensadora de snacks del pasillo se tragó mis monedas.,otros
¿Alguien me explica por qué quiero usar el tethering del teléfono y la configuración no me deja activarlo?,redes
"Cordial saludo, solicito revisión de lo siguiente: El equipo pita al arrancar y no me da bios ni windows.",infraestructura
"Qué más, tengo un chicharrón: Por favor confírmenme mi saldo de vacaciones a la fecha.",otros
El aparato de red que está bajo el escritorio hace ruidos y parpadea rojo. ¿Me colaboran?,redes
